Display Name,User Principal Name,Monthly credit limit,Monthly credits used,User ID,Microsoft 365 Copilot license,Last activity date,Session Count,Agents and Services
Sloan Nguyen,user000001@example.com,400,458,u-fbe3969a54ce,Yes,2025-11-22,24,Cowork; Analyst
Sage King,user000002@example.com,350,516,u-7b2da3f99e40,Yes,2025-10-29,34,Cowork; Analyst
Riley Thompson,user000004@example.com,600,377,u-164c5dce8439,Yes,2025-11-22,20,Cowork; Work IQ
Morgan Anderson,user000005@example.com,500,652,u-1cdd559a7b49,Yes,2025-12-13,54,Cowork; Work IQ; Researcher
Finley Williams,user000006@example.com,350,562,u-9ee2abe77e0f,No,2026-01-14,33,Cowork; Work IQ; Researcher
Harper Thompson,user000007@example.com,350,411,u-18594cff2a44,Yes,2025-12-13,26,Cowork
Finley Chen,user000008@example.com,350,533,u-059cc400b514,Yes,2026-01-22,31,Cowork; Analyst
Jordan Nguyen,user000009@example.com,350,206,u-60f7bbbf2a7e,Yes,2025-12-12,11,Cowork; Analyst; Researcher
Casey Smith,user000011@example.com,600,610,u-c8f2c8bbdf4d,Yes,2025-12-17,34,Cowork
Jamie Smith,user000014@example.com,600,405,u-b2227f7ba53b,No,2025-12-20,31,Cowork; Researcher
Devon Smith,user000016@example.com,400,612,u-3fbad3281d56,Yes,2025-12-20,44,Cowork; Analyst
Phoenix Allen,user000017@example.com,600,254,u-fab25b202f9c,Yes,2026-01-20,13,Cowork; Analyst
Jordan Nguyen,user000018@example.com,350,560,u-0adad20a8e1e,Yes,2025-12-26,43,Cowork; Analyst
Taylor Thompson,user000019@example.com,500,218,u-dda0802e097c,Yes,2026-01-23,14,Cowork
Drew Anderson,user000020@example.com,500,405,u-54e3ea2eb603,Yes,2025-12-04,25,Cowork; Work IQ
Drew Williams,user000021@example.com,600,382,u-077aa2d4af69,Yes,2025-12-18,25,Cowork
Logan Garcia,user000022@example.com,400,550,u-48ee492e2989,Yes,2026-01-28,31,Cowork; Researcher
Casey Hall,user000023@example.com,450,460,u-7447ee0bc840,Yes,2025-12-04,29,Cowork
Kendall Thompson,user000025@example.com,350,342,u-972338360f56,Yes,2025-11-18,26,Cowork; Researcher
Skyler Nguyen,user000027@example.com,400,804,u-9418f1fc3f37,Yes,2026-01-02,50,Cowork; Work IQ; Researcher
Devon Wilson,user000028@example.com,400,371,u-666c22867421,Yes,2026-01-27,21,Cowork; Researcher
Logan Garcia,user000029@example.com,400,339,u-44d114315bc8,Yes,2025-11-19,24,Cowork; Analyst; Researcher
Logan Young,user000030@example.com,400,660,u-7ce41e47784e,Yes,2025-11-19,51,Cowork; Researcher
Morgan Chen,user000031@example.com,350,537,u-e72d39c47208,No,2026-01-08,32,Cowork; Analyst; Researcher
Harper Johnson,user000032@example.com,500,271,u-7419959a6d3e,Yes,2025-12-19,17,Cowork; Work IQ
Parker Davis,user000033@example.com,600,143,u-9d764e0fe778,Yes,2025-12-22,8,Cowork; Analyst
Skyler Smith,user000034@example.com,500,464,u-64f84e0272a5,No,2025-11-15,27,Cowork; Analyst; Researcher
Rowan King,user000036@example.com,600,344,u-654f9617e467,Yes,2025-12-02,20,Cowork; Researcher
Morgan Harris,user000037@example.com,400,336,u-62d92171ae49,Yes,2025-11-03,24,Cowork; Analyst
Cameron Williams,user000039@example.com,350,366,u-0d758e7a1ed7,Yes,2025-12-11,23,Cowork; Researcher
Avery Walker,user000040@example.com,350,218,u-c9a2761e1b0a,Yes,2025-12-03,14,Cowork; Analyst; Researcher
Logan Walker,user000042@example.com,350,267,u-507a719a1bf5,Yes,2025-11-18,17,Cowork; Analyst
Rowan King,user000043@example.com,450,379,u-cc1126d93066,Yes,2026-01-18,21,Cowork
Cameron Smith,user000044@example.com,500,551,u-37fc4491233f,Yes,2025-12-09,29,Cowork; Analyst
Skyler Garcia,user000045@example.com,450,475,u-82d7df28f1f8,Yes,2026-01-02,28,Cowork; Analyst
Reese Nguyen,user000046@example.com,500,551,u-fd1d523f3d08,Yes,2025-12-23,42,Cowork; Analyst
Casey Harris,user000048@example.com,450,359,u-1e6fe059daeb,Yes,2025-11-23,20,Cowork
Quinn Wright,user000049@example.com,600,693,u-d6ce53f97dbb,Yes,2025-11-17,46,Cowork; Work IQ; Researcher
Cameron Smith,user000050@example.com,450,674,u-d926f854f9b3,Yes,2026-01-13,45,Cowork; Work IQ; Researcher
Logan Moore,user000051@example.com,400,338,u-5d67b880b5a1,Yes,2026-01-23,28,Cowork
Skyler Hill,user000052@example.com,600,404,u-888a97409942,Yes,2025-11-08,29,Cowork; Work IQ; Researcher
Taylor Garcia,user000053@example.com,350,515,u-c10a8f7ee9fa,Yes,2025-12-11,32,Cowork; Analyst
Rowan King,user000055@example.com,500,253,u-aa0df70f31aa,Yes,2026-01-15,18,Cowork; Analyst
Harper Patel,user000058@example.com,450,323,u-56f85d2c7e75,No,2025-11-10,20,Cowork; Researcher
Cameron Miller,user000061@example.com,600,553,u-c0420408eedf,Yes,2025-11-10,43,Cowork
Skyler Hall,user000062@example.com,500,299,u-4f1df49e3929,Yes,2025-12-17,20,Cowork; Researcher
Jamie Thompson,user000064@example.com,350,305,u-76893d02f828,Yes,2025-11-20,23,Cowork; Work IQ
