userPrincipalName,displayName,department,jobTitle,jobFamily,city,country,costCenter,manager,businessUnit,companyName
casimirdunmore@example.com,"Dunmore, Casimir H",Sales (Employer Group),Account Executive,Sales & Accounts,"Minnetonka, MN",US,CC-SLES-1836,sales.mgr01@example.com,Corporate Functions,Contoso Ltd
antigonebraithwaite@example.com,"Braithwaite, Antigone M",Data & Analytics,Data Analyst,Data & Analytics,Hyderabad,IN,CC-DATA-2363,data.mgr02@example.com,Technology,Contoso Ltd
yorickrutherford@example.com,"Rutherford, Yorick A",Actuarial & Underwriting,Underwriter,Finance & Actuarial,"Hartford, CT",US,CC-ACTR-9631,actuarial.mgr03@example.com,Insurance Operations,Contoso Ltd
viviennesatterthwaite@example.com,"Satterthwaite, Vivienne K",Claims Processing,Claims Examiner,Claims & Operations,"Atlanta, GA",US,CC-CLMS-8440,claims.mgr02@example.com,Insurance Operations,Contoso Ltd
hespernightingale@example.com,"Nightingale, Hesper H",Claims Processing,Claims Auditor,Claims & Operations,"Minnetonka, MN",US,CC-CLMS-8440,claims.mgr03@example.com,Insurance Operations,Contoso Ltd
odalysblackwood@example.com,"Blackwood, Odalys H",IT Service Desk,Tier 1 Tech,Engineering & IT,Hyderabad,IN,CC-ITSD-8744,it.mgr02@example.com,Technology,Contoso Ltd
ignatiusattenborough2@example.com,"Attenborough, Ignatius K",Claims Processing,Recovery Specialist,Claims & Operations,"Hartford, CT",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
ferdinandthornbury@example.com,"Thornbury, Ferdinand L",Claims Processing,Claims Examiner,Claims & Operations,"Atlanta, GA",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
rosalindpennington@example.com,"Pennington, Rosalind C",Data & Analytics,BI Engineer,Data & Analytics,"Minnetonka, MN",US,CC-DATA-9141,data.mgr01@example.com,Technology,Contoso Ltd
bexleyziegler@example.com,"Ziegler, Bexley S",Data & Analytics,Data Analyst,Data & Analytics,"Atlanta, GA",US,CC-DATA-9141,data.mgr02@example.com,Technology,Contoso Ltd
bramwelltremaine@example.com,"Tremaine, Bramwell E",Data & Analytics,Data Scientist,Data & Analytics,Hyderabad,IN,CC-DATA-2363,data.mgr03@example.com,Technology,Contoso Ltd
bexleyabernathy@example.com,"Abernathy, Bexley E",Clinical Operations,Clinical Analyst,Clinical & Care,"Minnetonka, MN",US,CC-CLIN-6351,clinical.mgr01@example.com,Health Services,Contoso Ltd
genevievetrelawney@example.com,"Trelawney, Genevieve F",Clinical Operations,Clinical Analyst,Clinical & Care,Dublin,IE,CC-CLIN-6316,clinical.mgr01@example.com,Health Services,Contoso Ltd
octavianwexford@example.com,"Wexford, Octavian R",Network Management,Provider Relations,Member & Customer Support,"Phoenix, AZ",US,CC-NTWK-9430,network.mgr02@example.com,Health Services,Contoso Ltd
montgomeryvillanueva@example.com,"Villanueva, Montgomery R",Pharmacy Benefits,Formulary Specialist,Clinical & Care,"Atlanta, GA",US,CC-RXBM-7797,pharmacy.mgr03@example.com,Health Services,Contoso Ltd
fennimoreeverhart@example.com,"Everhart, Fennimore B",IT Service Desk,Tier 1 Tech,Engineering & IT,"Minnetonka, MN",US,CC-ITSD-5368,it.mgr02@example.com,Technology,Contoso Ltd
bartholomewollivander@example.com,"Ollivander, Bartholomew F",Network Management,Provider Relations,Member & Customer Support,"Hartford, CT",US,CC-NTWK-9430,network.mgr02@example.com,Health Services,Contoso Ltd
antigonequartermaine2@example.com,"Quartermaine, Antigone W",Claims Processing,Claims Auditor,Claims & Operations,"Minnetonka, MN",US,CC-CLMS-8440,claims.mgr01@example.com,Insurance Operations,Contoso Ltd
antheaellsworth@example.com,"Ellsworth, Anthea H",Data & Analytics,Data Scientist,Data & Analytics,Dublin,IE,CC-DATA-8847,data.mgr01@example.com,Technology,Contoso Ltd
marisolemowbray@example.com,"Mowbray, Marisole D",IT Service Desk,Desktop Admin,Engineering & IT,"Nashville, TN",US,CC-ITSD-5368,it.mgr02@example.com,Technology,Contoso Ltd
yorickwollstonecraft2@example.com,"Wollstonecraft, Yorick R",Clinical Operations,RN Care Manager,Clinical & Care,"Phoenix, AZ",US,CC-CLIN-6351,clinical.mgr02@example.com,Health Services,Contoso Ltd
clementinemerriweather@example.com,"Merriweather, Clementine K",Pharmacy Benefits,Formulary Specialist,Clinical & Care,"Hartford, CT",US,CC-RXBM-7797,pharmacy.mgr03@example.com,Health Services,Contoso Ltd
percivalattenborough@example.com,"Attenborough, Percival S",Member Services,Escalations Lead,Member & Customer Support,"Hartford, CT",US,CC-MBRS-1678,member.mgr01@example.com,Health Services,Contoso Ltd
ulyssajorgensen@example.com,"Jorgensen, Ulyssa E",Engineering,Software Engineer,Engineering & IT,Dublin,IE,CC-ENGR-9674,engineering.mgr03@example.com,Technology,Contoso Ltd
zephyrineollivander@example.com,"Ollivander, Zephyrine B",Product Management,Group PM,Product & Program,"Nashville, TN",US,CC-PROD-5415,product.mgr03@example.com,Technology,Contoso Ltd
persephonebeaumont@example.com,"Beaumont, Persephone S",Pharmacy Benefits,PBM Analyst,Clinical & Care,"Phoenix, AZ",US,CC-RXBM-7797,pharmacy.mgr01@example.com,Health Services,Contoso Ltd
calanthetrelawney@example.com,"Trelawney, Calanthe L",Network Management,Contract Negotiator,Sales & Accounts,"Hartford, CT",US,CC-NTWK-9430,network.mgr03@example.com,Health Services,Contoso Ltd
emmerichfairbanks@example.com,"Fairbanks, Emmerich T",Engineering,SRE,Engineering & IT,Bengaluru,IN,CC-ENGR-3318,engineering.mgr01@example.com,Technology,Contoso Ltd
